,labels,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.
1000,Esferas_BT474_dia_7_well_2_100X_1_blob_11,107.5326,653.1142,517.3525,653.1142,517.3525,38.4014,646.7391,511.5489,12.2283,11.5489,0.9163
1015,Esferas_BT474_dia_7_well_2_100X_5_blob_5,435.6687,122.777,446.24300000000005,122.777,446.24300000000005,77.6671,112.0924,433.4239,20.3804,25.8152,0.9076
1009,Esferas_BT474_dia_7_well_2_100X_3_blob_3,334.1358,774.1384,193.5513,774.1384,193.5513,69.5832,762.2283,185.462,23.7772,16.9837,0.8672
992,Esferas_BT474_dia_7_well_1_100X_8_blob_3,3145.2143,477.0,293.505,477.0,293.505,249.8966,436.8207,264.9457,78.8043,54.3478,0.6329
981,Esferas_BT474_dia_7_well_1_100X_3_blob_1,381.6716,577.3664,277.3123,577.3664,277.3123,73.193,566.5761,266.3043,21.7391,22.4185,0.8953
986,Esferas_BT474_dia_7_well_1_100X_4_blob_5,263.5242,619.0661,515.2389,619.0661,515.2389,60.402,609.375,506.1141,19.0217,18.3424,0.9077
956,Esferas_BT474_dia_7_well_1_100X_7_blob_1,7295.6049,515.9838,169.9114,515.9838,169.9114,331.9294,467.3913,120.2446,97.8261,99.8641,0.8321
967,Esferas_BT474_dia_7_well_2_100X_3_blob_4,5724.6131,489.5962,542.4306,489.5962,542.4306,289.6567,447.6902,493.8859,80.163,93.75,0.8574
969,Esferas_BT474_dia_7_well_2_100X_5_blob_3,5466.1655,646.4804,378.4575,646.4804,378.4575,281.1066,605.2989,334.9185,83.5598,86.2772,0.8693
989,Esferas_BT474_dia_7_well_1_100X_7_blob_3,436.1302,89.7152,510.261,89.7152,510.261,80.7141,77.4457,499.3207,25.1359,22.4185,0.8413
1012,Esferas_BT474_dia_7_well_2_100X_5_blob_1,929.0266,411.1851,123.3418,411.1851,123.3418,124.5503,392.663,105.2989,38.7228,33.9674,0.7526
977,Esferas_BT474_dia_7_well_1_100X_2_blob_3,122.7626,166.9663,303.6608,166.9663,303.6608,40.3229,160.3261,297.5543,12.9076,12.2283,0.9488
1014,Esferas_BT474_dia_7_well_2_100X_5_blob_4,277.8311,195.4265,433.4826,195.4265,433.4826,62.5566,185.462,424.5924,18.3424,19.7011,0.8922
1001,Esferas_BT474_dia_7_well_2_100X_1_blob_12,897.1822,580.9388,604.9757,580.9388,604.9757,129.9168,561.1413,588.3152,38.0435,35.3261,0.6679999999999999
944,Esferas_BT474_dia_7_well_1_100X_1_blob_1,1753.2897,546.2683,63.002,546.2683,63.002,158.4777,522.4185,36.6848,46.1957,50.2717,0.8773
945,Esferas_BT474_dia_7_well_1_100X_1_blob_3,2891.3819,715.8960000000003,164.9335,715.8960000000003,164.9335,213.047,684.1033,132.4728,63.8587,63.1793,0.8005
946,Esferas_BT474_dia_7_pozo_^~1_100X_1_blob_6,4146.237,702.8908,332.2074,702.8908,332.2074,254.1375,668.4783,294.837,69.9728,75.4076,0.8067
947,Esferas_BT474_dia_7_well_1_100X_1_blob_7,1831.747,259.3026,453.1354,259.3026,453.1354,185.0489,233.0163,424.5924,50.9511,57.0652,0.6722
948,Esferas_BT474_dia_7_well_1_100X_2_blob_1,3335.8194,599.5751,49.0558,599.5751,49.0558,220.5398,567.9348,16.3043,64.538,65.8967,0.8619
949,Esferas_BT474_dia_7_well_1_100X_2_blob_4,2177.8821,148.7066,536.6332,148.7066,536.6332,191.3478,120.9239,510.8696,55.0272,54.3478,0.7475
950,Esferas_BT474_dia_7_well_1_100X_2_blob_7,969.6398,228.8625,594.5837,228.8625,594.5837,121.037,211.9565,575.4076,36.6848,36.0054,0.8317
951,Esferas_BT474_dia_7_well_1_100X_3_blob_2,1246.0864,562.5838,425.3779,562.5838,425.3779,136.9434,541.4402,405.5707,41.4402,38.7228,0.835
952,Esferas_BT474_dia_7_well_1_100X_4_blob_3,2839.2309,504.7075,396.4937,504.7075,396.4937,264.9671,474.1848,354.6196,61.1413,74.0489,0.5082
953,Esferas_BT474_dia_7_pozo_^~1_100X_4_blob_4,1259.4703,484.9663,464.3823,484.9663,464.3823,137.9725,464.6739,444.2935,40.7609,38.7228,0.8314
954,Esferas_BT474_dia_7_well_1_100X_5_blob_1,3910.4036,428.5144,322.632,428.5144,322.632,266.7237,395.3804,277.1739,67.9348,82.8804,0.6907
955,Esferas_BT474_dia_7_well_1_100X_6_blob_2,10998.789,460.6773,335.9378,460.6773,335.9378,433.0522,396.7391,275.1359,125.0,127.7174,0.737
956,Esferas_BT474_dia_7_well_1_100X_7_blob_1,7295.6049,515.9838,169.9114,515.9838,169.9114,331.9294,467.3913,120.2446,97.8261,99.8641,0.8321
957,Esferas_BT474_dia_7_well_1_100X_7_blob_2,4711.1295,577.3241,412.9138,577.3241,412.9138,258.9412,537.3641,375.6793,80.163,76.087,0.8829
958,Esferas_BT474_dia_7_well_1_100X_8_blob_1,607.3517,614.0788,205.9513,614.0788,205.9513,101.8505,598.5054,194.2935,34.6467,25.1359,0.7357
959,Esferas_BT474_dia_7_well_1_100X_9_blob_3,6151.9745,152.8742,462.254,152.8742,462.254,352.4347,104.6196,419.1576,106.6576,86.9565,0.6224
960,Esferas_BT474_dia_7_well_2_100X_1_blob_1,3365.8177,725.4503,85.9102,725.4503,85.9102,221.9668,692.2554,52.9891,63.8587,65.2174,0.8585
961,Esferas_BT474_dia_7_well_2_100X_1_blob_3,839.9545,624.302,281.7647,624.302,281.7647,110.0026,607.337,266.3043,35.3261,32.6087,0.8723
962,Esferas_BT474_dia_7_pozo_^~2_100X_1_blob_7,2929.226,186.7719,431.7178,186.7719,431.7178,209.9316,154.21200000000005,400.1359,64.538,62.5,0.8352
963,Esferas_BT474_dia_7_well_2_100X_1_blob_8,4185.9272,170.6867,522.7527,170.6867,522.7527,269.6059,132.4728,484.375,75.4076,78.125,0.7237
964,Esferas_BT474_dia_7_well_2_100X_1_blob_9,2027.8902,575.4558,519.2148,575.4558,519.2148,188.2325,549.5924,491.8478,53.6685,54.3478,0.7192
965,Esferas_BT474_dia_7_well_2_100X_1_blob_10,1829.4394,56.2457,539.8121,56.2457,539.8121,190.0174,29.212,511.5489,51.6304,54.3478,0.6367
966,Esferas_BT474_dia_7_well_2_100X_2_blob_5,2406.3312,682.1384,567.7464,682.1384,567.7464,240.7837,654.212,538.7228,64.538,56.3859,0.5216
967,Esferas_BT474_dia_7_well_2_100X_3_blob_4,5724.6131,489.5962,542.4306,489.5962,542.4306,289.6567,447.6902,493.8859,80.163,93.75,0.8574
968,Esferas_BT474_dia_7_well_2_100X_4_blob_3,10819.2602,439.2462,376.1639,439.2462,376.1639,438.0208,372.2826,313.8587,127.038,128.3967,0.7086
969,Esferas_BT474_dia_7_well_2_100X_5_blob_3,5466.1655,646.4804,378.4575,646.4804,378.4575,281.1066,605.2989,334.9185,83.5598,86.2772,0.8693
970,Esferas_BT474_dia_7_well_2_100X_6_blob_1,7493.1327,729.4567,75.6119,729.4567,75.6119,342.1396,683.4239,18.3424,93.0707,108.6957,0.8044
971,Esferas_BT474_dia_7_well_2_100X_6_blob_2,4783.1256,540.6372,230.2061,540.6372,230.2061,261.4255,500.6793,190.2174,79.4837,78.8043,0.8795
972,"Esferoides/""_474BT__dia_7_well_2_100X_7_blob_1",6689.1762,456.9369,265.9314,456.9369,265.9314,327.3588,408.9674,218.75,93.75,95.1087,0.7844
973,Esferas_BT474_dia_7_well_1_100X_1_blob_2,531.6635,431.9013,101.3803,431.9013,101.3803,88.4001,416.4402,88.3152,29.212,25.1359,0.855
974,Esferas_BT474_dia_7_well_1_100X_1_blob_4,265.8318,500.4741,184.4819,500.4741,184.4819,66.4961,489.1304,175.2717,21.7391,19.0217,0.7555
975,Esferas_BT474_dia_7_well_1_100X_1_blob_5,446.2835,251.5305,286.5453,251.5305,286.5453,95.1935,239.8098,271.0598,23.7772,30.5707,0.6189
976,Esferas_BT474_dia_7_well_1_100X_2_blob_2,819.6479,297.3218,257.4575,297.3218,257.4575,122.5606,281.25,235.0543,32.6087,39.4022,0.6857
977,Esferas_BT474_dia_7_well_1_100X_2_blob_3,122.7626,166.9663,303.6608,166.9663,303.6608,40.3229,160.3261,297.5543,12.9076,12.2283,0.9488
978,Esferas_BT474_dia_7_well_1_100X_2_blob_5,102.456,451.4756,534.4540000000002,451.4756,534.4540000000002,37.4407,445.6522,528.5326,11.5489,11.5489,0.9185
979,Esferas_BT474_dia_7_well_1_100X_2_blob_6,798.4183,108.1054,565.2307,108.1054,565.2307,109.9061,92.3913,548.913,31.25,32.6087,0.8306
980,Esferas_BT474_dia_7_well_1_100X_2_blob_8,182.2978,99.853,606.4504,99.853,606.4504,50.9594,91.712,598.5054,16.3043,14.9457,0.8822
981,Esferas_BT474_dia_7_well_1_100X_3_blob_1,381.6716,577.3664,277.3123,577.3664,277.3123,73.193,566.5761,266.3043,21.7391,22.4185,0.8953
982,Esferas_BT474_dia_7_well_1_100X_3_blob_3,266.7548,123.284,537.1103,123.284,537.1103,65.2057,112.0924,528.5326,23.0978,15.625,0.7884
983,Esferas_BT474_dia_7_well_1_100X_3_blob_4,743.4982,212.7246,569.7689,212.7246,569.7689,105.432,197.6902,554.3478,31.9293,30.5707,0.8405
984,Esferas_BT474_dia_7_well_1_100X_4_blob_1,175.8366,595.9762,42.3059,595.9762,42.3059,49.7655,588.3152,34.6467,15.625,15.625,0.8922
